name,group,order,types,description
SDL_SetNumberProperty,4,33,SDL_PropertiesID char Sint64 bool,Set an integer property in a group of properties.
SDL_SetPaletteColors,26,751,SDL_Palette SDL_Color int bool,Set a range of colors in a palette.
SDL_SetPointerProperty,4,31,SDL_PropertiesID char bool,Set a pointer property in a group of properties.
SDL_SetPointerPropertyWithCleanup,4,30,SDL_PropertiesID char SDL_CleanupPropertyCallback bool,Set a pointer property in a group of properties with a cleanup function that is called when the property is deleted.
SDL_SetPrimarySelectionText,32,863,char bool,Put UTF-8 text into the primary selection.
SDL_SetRelativeMouseTransform,9,232,SDL_MouseMotionTransformCallback bool,Set a user-defined function by which to transform relative mouse inputs.
SDL_SetRenderClipRect,17,545,SDL_Renderer SDL_Rect bool,Set the clip rectangle for rendering on the specified target.
SDL_SetRenderColorScale,17,554,SDL_Renderer float bool,Set the color scale used for render operations.
SDL_SetRenderDrawBlendMode,17,556,SDL_Renderer SDL_BlendMode bool,Set the blend mode used for drawing operations.
SDL_SetRenderDrawColor,17,550,SDL_Renderer Uint8 bool,Set the color used for drawing operations.
SDL_SetRenderDrawColorFloat,17,551,SDL_Renderer float bool,"Set the color used for drawing operations (Rect, Line and Clear)."
SDL_SetRenderLogicalPresentation,17,535,SDL_Renderer int SDL_RendererLogicalPresentation bool,Set a device-independent resolution and presentation mode for rendering.
SDL_SetRenderScale,17,548,SDL_Renderer float bool,Set the drawing scale for rendering on the current target.
SDL_SetRenderTarget,17,533,SDL_Renderer SDL_Texture bool,Set a texture as the current rendering target.
SDL_SetRenderTextureAddressMode,17,575,SDL_Renderer SDL_TextureAddressMode bool,Set the texture addressing mode used in SDL_RenderGeometry().
SDL_SetRenderVSync,17,585,SDL_Renderer int bool,Toggle VSync of the given renderer.
SDL_SetRenderViewport,17,541,SDL_Renderer SDL_Rect bool,Set the drawing area for rendering on the current target.
SDL_SetScancodeName,8,209,SDL_Scancode char bool,Set a human-readable name for a scancode.
SDL_SetStringProperty,4,32,SDL_PropertiesID char bool,Set a string property in a group of properties.
SDL_SetSurfaceAlphaMod,27,791,SDL_Surface Uint8 bool,Set an additional alpha value used in blit operations.
SDL_SetSurfaceBlendMode,27,793,SDL_Surface SDL_BlendMode bool,Set the blend mode used for blit operations.
SDL_SetSurfaceClipRect,27,795,SDL_Surface SDL_Rect bool,Set the clipping rectangle for a surface.
SDL_SetSurfaceColorKey,27,786,SDL_Surface bool Uint32,Set the color key (transparent pixel) in a surface.
SDL_SetSurfaceColorMod,27,789,SDL_Surface Uint8 bool,Set an additional color value multiplied into blit operations.
SDL_SetSurfaceColorspace,27,761,SDL_Surface SDL_Colorspace bool,Set the colorspace used by a surface.
SDL_SetSurfacePalette,27,764,SDL_Surface SDL_Palette bool,Set the palette used by a surface.
SDL_SetSurfaceRLE,27,784,SDL_Surface bool,Set the RLE acceleration hint for a surface.
SDL_SetTLS,19,613,SDL_TLSID SDL_TLSDestructorCallback bool,Set the current thread's value associated with a thread local storage ID.
SDL_SetTextInputArea,8,219,SDL_Window SDL_Rect int bool,Set the area used to type Unicode text input.
SDL_SetTextureAlphaMod,17,519,SDL_Texture Uint8 bool,Set an additional alpha value multiplied into render copy operations.
SDL_SetTextureAlphaModFloat,17,520,SDL_Texture float bool,Set an additional alpha value multiplied into render copy operations.
SDL_SetTextureBlendMode,17,523,SDL_Texture SDL_BlendMode bool,"Set the blend mode for a texture, used by SDL_RenderTexture()."
SDL_SetTextureColorMod,17,515,SDL_Texture Uint8 bool,Set an additional color value multiplied into render copy operations.
SDL_SetTextureColorModFloat,17,516,SDL_Texture float bool,Set an additional color value multiplied into render copy operations.
SDL_SetTexturePalette,17,513,SDL_Texture SDL_Palette bool,Set the palette used by a texture.
SDL_SetTextureScaleMode,17,525,SDL_Texture SDL_ScaleMode bool,Set the scale mode used for texture scale operations.
SDL_SetTrayEntryCallback,34,892,SDL_TrayEntry SDL_TrayCallback,Sets a callback to be invoked when the entry is selected.
SDL_SetTrayEntryChecked,34,888,SDL_TrayEntry bool,Sets whether or not an entry is checked.
SDL_SetTrayEntryEnabled,34,890,SDL_TrayEntry bool,Sets whether or not an entry is enabled.
SDL_SetTrayEntryLabel,34,886,SDL_TrayEntry char,Sets the label of an entry.
SDL_SetTrayIcon,34,877,SDL_Tray SDL_Surface,Updates the system tray icon's icon.
SDL_SetTrayTooltip,34,878,SDL_Tray char,Updates the system tray icon's tooltip.
SDL_SetWindowAlwaysOnTop,6,118,SDL_Window bool,Set the window to always be above the others.
SDL_SetWindowAspectRatio,6,108,SDL_Window float bool,Request that the aspect ratio of a window's client area be set.
SDL_SetWindowBordered,6,116,SDL_Window bool,Set the border state of a window.
SDL_SetWindowFillDocument,6,119,SDL_Window bool,Set the window to fill the current document space (Emscripten only).
SDL_SetWindowFocusable,6,146,SDL_Window bool,Set whether the window may have input focus.
SDL_SetWindowFullscreen,6,126,SDL_Window bool,Request that the window's fullscreen state be changed.
SDL_SetWindowFullscreenMode,6,87,SDL_Window SDL_DisplayMode bool,Set the display mode to use when a window is visible and fullscreen.
SDL_SetWindowHitTest,6,148,SDL_Window SDL_HitTest bool,Provide a callback that decides if a window region has special properties.
